epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4703,1.48387,2.08026,0.97522,0.03321,1,0.9226,0.56661,1.1501,2.3444,0.81804,0.0006,0.0006,0.0006
2,10.9033,0.97564,0.74798,0.83343,0.70861,0.90211,0.70602,0.4499,1.28539,1.96757,0.83357,0.00120792,0.00120792,0.00120792
3,15.2348,0.94903,0.6712,0.83841,0.99637,0.99104,0.99475,0.71363,1.02623,1.15366,0.81118,0.00180357,0.00180357,0.00180357
4,19.6714,0.94397,0.6245,0.82942,0.99641,0.99575,0.9942,0.67155,1.19767,0.70253,0.83238,0.0019406,0.0019406,0.0019406
5,23.9594,0.9309,0.59643,0.82627,0.99641,0.9956,0.99487,0.74946,0.98714,0.57284,0.80466,0.0019208,0.0019208,0.0019208
6,28.2776,0.80747,0.53025,0.81579,0.9932,0.98925,0.99486,0.76454,0.90631,0.49626,0.79868,0.001901,0.001901,0.001901
7,32.6032,0.83216,0.51545,0.81235,0.99592,1,0.99496,0.78632,0.86436,0.47722,0.79922,0.0018812,0.0018812,0.0018812
8,36.9575,0.86459,0.50199,0.82061,0.99627,0.99642,0.99491,0.79513,0.77009,0.45384,0.7896,0.0018614,0.0018614,0.0018614
9,41.3245,0.78152,0.48843,0.81361,0.99551,1,0.99478,0.84861,0.6362,0.44663,0.77987,0.0018416,0.0018416,0.0018416
10,45.7185,0.78708,0.46201,0.80978,0.9964,0.99116,0.99498,0.8219,0.73755,0.43735,0.78196,0.0018218,0.0018218,0.0018218
11,50.1319,0.76957,0.45482,0.80819,0.99816,0.99821,0.995,0.85028,0.65182,0.40848,0.77562,0.001802,0.001802,0.001802
12,54.4911,0.70259,0.4271,0.80041,0.99269,0.99821,0.99491,0.81942,0.69451,0.39659,0.77776,0.0017822,0.0017822,0.0017822
13,58.9288,0.70766,0.41825,0.80157,0.99343,1,0.99498,0.79006,0.81535,0.43658,0.78822,0.0017624,0.0017624,0.0017624
14,63.3453,0.67072,0.39403,0.79622,0.99827,0.99642,0.995,0.83762,0.66739,0.40747,0.77612,0.0017426,0.0017426,0.0017426
15,67.7384,0.66927,0.39264,0.79784,0.99697,0.99642,0.995,0.86255,0.61774,0.36436,0.77312,0.0017228,0.0017228,0.0017228
16,72.1681,0.66954,0.38119,0.79387,0.999,0.99821,0.995,0.86184,0.6199,0.35955,0.7751,0.001703,0.001703,0.001703
17,76.5753,0.71674,0.38906,0.80319,0.99911,1,0.995,0.86559,0.58026,0.35092,0.77224,0.0016832,0.0016832,0.0016832
18,81.0062,0.66546,0.3731,0.79724,0.99948,1,0.995,0.87557,0.5523,0.34521,0.76726,0.0016634,0.0016634,0.0016634
19,85.4746,0.62533,0.35875,0.79319,1,0.9997,0.995,0.86847,0.58393,0.3412,0.77236,0.0016436,0.0016436,0.0016436
20,89.9258,0.65637,0.36641,0.79492,0.9992,1,0.995,0.83495,0.7157,0.36556,0.77988,0.0016238,0.0016238,0.0016238
21,94.5031,0.63303,0.35293,0.79258,0.9996,1,0.995,0.8694,0.55298,0.32571,0.7696,0.001604,0.001604,0.001604
22,99.1923,0.65081,0.35439,0.79455,0.98923,0.98753,0.99486,0.85287,0.62659,0.33387,0.77526,0.0015842,0.0015842,0.0015842
23,103.693,0.59896,0.33137,0.78868,0.99932,1,0.995,0.84582,0.68288,0.34792,0.77984,0.0015644,0.0015644,0.0015644
24,108.263,0.65518,0.35455,0.7968,0.99948,1,0.995,0.8604,0.61526,0.37353,0.77132,0.0015446,0.0015446,0.0015446
25,112.915,0.64764,0.35989,0.7909,0.99778,1,0.995,0.86528,0.60757,0.3361,0.77133,0.0015248,0.0015248,0.0015248
26,117.553,0.6224,0.3428,0.79198,0.99981,1,0.995,0.86192,0.62094,0.31717,0.77125,0.001505,0.001505,0.001505
27,122.139,0.61684,0.33345,0.78824,0.99954,1,0.995,0.86463,0.60465,0.33945,0.77305,0.0014852,0.0014852,0.0014852
28,126.715,0.6172,0.33386,0.7889,0.99978,1,0.995,0.89443,0.51518,0.29572,0.76655,0.0014654,0.0014654,0.0014654
29,131.322,0.59036,0.32658,0.78831,0.99976,1,0.995,0.87754,0.548,0.30503,0.76982,0.0014456,0.0014456,0.0014456
30,136.014,0.58906,0.32699,0.78567,0.99983,1,0.995,0.86757,0.5573,0.31232,0.76973,0.0014258,0.0014258,0.0014258
31,140.745,0.58369,0.3234,0.78641,0.99974,1,0.995,0.85179,0.62993,0.33045,0.77348,0.001406,0.001406,0.001406
32,145.418,0.58919,0.32275,0.78698,0.99982,1,0.995,0.86978,0.59223,0.31563,0.77094,0.0013862,0.0013862,0.0013862
33,150.286,0.58636,0.31996,0.78552,0.99984,1,0.995,0.89137,0.49859,0.29351,0.7664,0.0013664,0.0013664,0.0013664
34,155.016,0.60272,0.32667,0.78375,0.99986,1,0.995,0.89757,0.48362,0.27778,0.76709,0.0013466,0.0013466,0.0013466
35,159.758,0.58359,0.31797,0.78712,0.99968,1,0.995,0.88846,0.5194,0.30377,0.76952,0.0013268,0.0013268,0.0013268
36,164.599,0.57432,0.31298,0.78271,0.99968,1,0.995,0.88315,0.52197,0.29864,0.76785,0.001307,0.001307,0.001307
37,169.396,0.5642,0.30864,0.78288,0.99985,1,0.995,0.88391,0.5275,0.28846,0.76794,0.0012872,0.0012872,0.0012872
38,174.122,0.55714,0.30727,0.78287,0.9998,1,0.995,0.90081,0.47569,0.2787,0.76449,0.0012674,0.0012674,0.0012674
39,178.891,0.58205,0.31931,0.78345,0.99983,1,0.995,0.8463,0.68564,0.32549,0.77581,0.0012476,0.0012476,0.0012476
40,183.648,0.55479,0.30195,0.78599,0.99962,1,0.995,0.88221,0.51631,0.28428,0.76646,0.0012278,0.0012278,0.0012278
41,188.408,0.56138,0.30876,0.78614,0.99966,1,0.995,0.88995,0.50117,0.28119,0.76437,0.001208,0.001208,0.001208
42,193.179,0.54107,0.30022,0.78075,0.99988,1,0.995,0.9016,0.50416,0.27799,0.76628,0.0011882,0.0011882,0.0011882
